id,name,now_cost,position,team,ict_index_rank,influence_rank,influence_rank_type,starts_per_90,expected_assists,ep_this,status,threat_rank,clean_sheets,transfers_out,threat,dreamteam_count,chance_of_playing_this_round,form,cost_change_start_fall,form_rank_type,direct_freekicks_order,form_rank,expected_goals_per_90,clean_sheets_per_90,points_per_game_rank,starts,own_goals,ict_index_rank_type,penalties_missed,now_cost_rank_type,value_form,expected_goal_involvements_per_90,now_cost_rank,goals_conceded_per_90,expected_assists_per_90,web_name,news_added,selected_rank,selected_by_percent,assists,expected_goals,expected_goals_conceded,bonus,cost_change_start,saves,chance_of_playing_next_round,event_points,minutes,yellow_cards,threat_rank_type,corners_and_indirect_freekicks_order,ep_next,in_dreamteam,selected_rank_type,expected_goal_involvements,penalties_saved,influence,points_per_game,saves_per_90,creativity,creativity_rank,red_cards,ict_index,transfers_in,expected_goals_conceded_per_90,value_season,creativity_rank_type,total_points,goals_scored,bps,goals_conceded,news,points_per_game_rank_type,penalties_order
1,Folarin Balogun,44,FWD,Arsenal,709,706,73,0.0,0.00,0.0,u,672,0,63680,0.0,0,0.0,0.0,1,52,,576,0.0,0.0,720,0,0,75,0,104,0.0,0.0,560,0.0,0.0,Balogun,2023-08-31T08:55:15.272751Z,354,0.2,0,0.00,0.00,0,-1,0,0.0,0,0,0,72,,0.0,False,52,0.00,0,0.0,0.0,0.0,0.0,701,0,0.0,10024,0.0,0.0,73,0,0,0,0,Transferred to Monaco,78,
2,Cédric Alves Soares,38,DEF,Arsenal,525,531,191,0.0,0.02,1.0,a,491,0,71397,0.0,0,,0.0,2,118,,360,0.0,0.0,454,0,0,185,0,271,0.0,0.03,854,0.0,0.03,Cédric,,242,0.5,0,0.00,0.39,0,-2,0,,0,59,0,180,,1.0,False,96,0.02,0,2.0,1.0,0.0,4.3,472,0,0.6,76023,0.59,0.8,175,3,0,15,0,,156,
3,Mohamed Elneny,44,MID,Arsenal,512,517,231,0.0,0.01,1.0,a,447,0,20652,10.0,0,100.0,0.0,1,185,,562,0.29,0.0,305,0,0,232,0,319,0.0,0.33,532,0.0,0.04,M.Elneny,2023-12-30T22:30:09.113694Z,473,0.1,1,0.08,0.13,0,-1,0,100.0,0,25,0,221,,1.0,False,154,0.09,0,4.0,2.0,0.0,2.1,486,0,1.6,13751,0.47,1.4,233,6,0,16,0,,127,
4,Fábio Ferreira Vieira,54,MID,Arsenal,391,414,177,0.62,0.64,1.0,a,304,1,19255,85.0,0,100.0,0.0,1,357,,830,0.39,0.31,277,2,0,177,0,73,0.0,0.59,121,0.62,0.2,Fábio Vieira,2023-12-07T12:00:08.489004Z,449,0.1,3,1.25,1.83,0,-1,0,100.0,0,290,0,152,,1.2,False,144,1.89,0,82.8,2.2,0.0,88.8,323,1,25.5,11816,0.57,4.4,177,24,1,67,2,,116,4.0
5,Gabriel dos Santos Magalhães,54,DEF,Arsenal,121,65,21,1.01,0.65,5.0,a,103,16,3574404,379.0,3,100.0,4.0,-4,21,,68,0.13,0.47,45,34,1,22,0,13,0.7,0.15,116,0.77,0.02,Gabriel,2024-03-18T22:00:08.938811Z,9,28.3,1,4.48,26.18,8,4,0,100.0,1,3042,4,4,,6.4,True,2,5.13,0,675.8,4.1,0.0,121.9,276,0,117.9,3607340,0.77,27.6,82,149,3,676,26,,6,
6,Kai Havertz,76,MID,Arsenal,19,47,15,1.03,3.88,7.0,a,14,16,832407,1027.0,5,100.0,6.0,-1,16,,30,0.42,0.55,19,30,0,15,0,12,0.8,0.55,20,0.75,0.13,Havertz,2023-12-23T20:00:08.458889Z,34,11.9,10,12.36,21.03,15,1,0,100.0,6,2627,11,8,,9.2,False,11,16.23,0,763.2,4.9,0.0,613.4,51,0,240.2,1629451,0.72,23.7,45,180,13,515,22,,15,3.0
8,Gabriel Fernando de Jesus,77,FWD,Arsenal,77,210,24,1.04,3.26,2.0,a,31,11,1236225,756.0,1,100.0,1.0,3,36,,247,0.38,0.67,151,17,0,17,0,7,0.1,0.58,18,0.67,0.2,G.Jesus,2024-02-05T08:30:09.036230Z,118,2.6,7,6.27,11.67,10,-3,0,100.0,1,1470,6,15,,3.2,False,21,9.53,0,364.8,3.1,0.0,403.0,95,0,152.7,1145854,0.71,11.0,10,85,4,271,11,,26,
9,Jorge Luiz Frello Filho,53,MID,Arsenal,346,348,147,0.99,1.77,1.5,a,433,4,22411,16.0,0,100.0,0.5,2,156,,332,0.01,0.39,356,10,0,156,0,77,0.1,0.18,127,1.08,0.17,Jorginho,2023-12-18T00:00:09.353001Z,348,0.2,2,0.10,8.42,1,-2,0,100.0,0,913,1,213,,1.4,False,105,1.87,0,165.4,1.8,0.0,187.8,211,0,36.8,12306,0.83,8.3,130,44,0,182,11,,156,
10,Jakub Kiwior,40,DEF,Arsenal,321,305,116,1.05,0.60,1.5,a,295,6,204509,90.0,1,,0.5,5,81,,272,0.07,0.57,91,11,0,111,0,190,0.1,0.13,726,0.76,0.06,Kiwior,,225,0.6,3,0.74,5.15,1,-5,0,,0,942,1,94,,2.6,False,89,1.34,0,228.8,3.4,0.0,106.9,301,0,42.7,254158,0.49,16.8,94,67,1,260,8,,16,
11,Marcus Oliveira Alencar,45,MID,Arsenal,763,759,299,0.0,0.00,0.0,u,738,0,11967,0.0,0,0.0,0.0,0,234,,654,0.0,0.0,765,0,0,300,0,251,0.0,0.0,427,0.0,0.0,Marquinhos,2023-08-14T03:57:12.475590Z,557,0.0,0,0.00,0.00,0,0,0,0.0,0,0,0,290,,0.0,False,194,0.00,0,0.0,0.0,0.0,0.0,753,0,0.0,819,0.0,0.0,298,0,0,0,0,Season long loan to FC Nantes,303,
12,Gabriel Martinelli Silva,75,MID,Arsenal,38,143,63,1.07,5.18,2.5,a,26,10,2295946,795.0,2,100.0,1.5,5,91,,185,0.28,0.45,103,24,0,27,0,15,0.2,0.51,23,1.03,0.23,Martinelli,2024-03-05T09:00:08.920090Z,87,4.2,5,6.36,14.88,6,-5,0,100.0,2,2010,1,13,,2.0,False,26,11.53,0,500.4,3.4,0.0,717.1,38,0,200.8,1282049,0.67,15.7,32,118,6,404,23,,49,
13,Eddie Nketiah,50,FWD,Arsenal,218,300,35,0.85,0.53,1.0,a,89,6,1712693,417.0,1,100.0,0.0,5,97,,802,0.39,0.51,209,10,0,34,0,45,0.0,0.43,193,0.85,0.04,Nketiah,2023-11-09T08:30:08.250179Z,106,3.1,4,4.65,10.21,5,-5,0,100.0,0,1065,3,32,,1.0,False,19,5.18,0,235.0,2.6,0.0,136.3,259,0,77.2,1586339,0.86,14.2,33,71,5,206,10,,33,
14,Martin Ødegaard,86,MID,Arsenal,6,24,11,1.02,10.16,7.5,a,30,19,3681283,757.0,3,100.0,6.5,-1,11,1.0,22,0.22,0.55,13,35,0,6,0,5,0.8,0.52,8,0.67,0.3,Ødegaard,2024-04-15T08:30:08.797068Z,17,18.0,11,7.53,25.26,26,1,0,100.0,10,3098,2,16,3.0,6.6,False,7,17.69,0,910.4,5.3,0.0,1499.4,3,0,317.0,3064865,0.73,21.6,3,186,8,703,23,,10,2.0
